id,nome,genero,idioma,cartao_credito,bandeira_cartao,limite,data_validade
1,Dom Pickhaver,Male,Tetum,5048378003241356,mastercard,5173,10/14/2027
2,Edvard Stoker,Genderfluid,Persian,5048371390541603,mastercard,5393,7/26/2027
3,Paule Malatalant,Female,Portuguese,5048378480620817,mastercard,6716,6/29/2024
4,Rycca Missington,Genderqueer,Papiamento,5048376706258776,mastercard,6396,3/3/2029
5,Glendon Horsefield,Male,Telugu,5108753130840006,mastercard,2188,3/20/2026
6,Bron Shirt,Male,Persian,5108754501634457,mastercard,8189,9/22/2030
7,Georgeta Di Angelo,Female,Italian,5048379875849607,mastercard,4675,2/19/2024
8,Josee Styche,Female,Japanese,5048375219771473,mastercard,2315,6/21/2028
9,Rosella Keysall,Female,Kazakh,5048377780994989,mastercard,8579,2/9/2029
10,Trip Gludor,Male,Pashto,5048374684848205,mastercard,1661,9/6/2026
11,Calley Maclean,Female,Papiamento,5048372223038502,mastercard,8373,5/16/2025
12,Wiatt Feander,Male,Thai,5108757866465847,mastercard,247,4/29/2027
13,Beatriz Sharratt,Female,Moldovan,5108756310673725,mastercard,3945,8/7/2027
14,Heida McIlmorow,Female,Marathi,5108758971277507,mastercard,2671,12/5/2024
15,Daffy Allbut,Female,Armenian,5048371214481374,mastercard,2927,1/16/2027
16,Tabbatha Arckoll,Female,Persian,5048375455001320,mastercard,4202,2/20/2027
17,Igor Wilprecht,Male,Korean,5108755212564628,mastercard,877,1/27/2025
18,Verna Wallis,Female,Nepali,5108757981727824,mastercard,5973,11/16/2028
19,Kaylyn Bartolomeoni,Female,Belarusian,5048375897647441,mastercard,2225,11/21/2028
20,Vladimir Pimlock,Male,Korean,5108756678146843,mastercard,8477,7/21/2026
21,Damien Earwaker,Male,Bislama,5108759752540808,mastercard,5684,5/27/2024
22,Barbie Dain,Female,Sotho,5048372948685207,mastercard,1777,1/22/2028
23,Clem Fritchly,Male,Norwegian,5048375695683879,mastercard,5843,10/26/2025
24,Dede MacDowall,Female,Italian,5108758321311055,mastercard,3426,9/14/2030
25,Adda Margery,Female,Irish Gaelic,5048378104060366,mastercard,6115,4/8/2027
26,Birk Boeck,Male,Mongolian,5048373509430694,mastercard,6040,8/27/2026
27,Cassie Wetherburn,Female,Polish,5108755223385401,mastercard,7014,2/24/2029
28,Annette Negro,Female,Kazakh,5048375571949295,mastercard,8984,9/7/2028
29,Lorilyn Congrave,Female,Fijian,5048375863027271,mastercard,3753,2/17/2027
30,Wallie Attewell,Female,Zulu,5048374737151904,mastercard,6480,3/5/2030
31,Mord Clowser,Male,Gagauz,5108751719453290,mastercard,2627,2/6/2029
32,Blinny Aleksidze,Female,Somali,5048376236386204,mastercard,4421,2/16/2026
33,Hope Paulat,Female,Gagauz,5108756610266360,mastercard,2567,3/7/2024
34,Rachael Konerding,Female,Malayalam,5108752355886041,mastercard,8420,11/16/2026
35,Donavon Jackalin,Male,Burmese,5108755532391736,mastercard,6429,11/18/2027
36,Frankie Kenwin,Male,Spanish,5048378169802090,mastercard,2941,10/18/2029
37,Mikael Burley,Male,Tetum,5048376385410425,mastercard,2333,8/16/2028
38,Tierney Warner,Female,Zulu,5048373335670661,mastercard,1058,2/27/2026
39,Papageno Pearlman,Male,Estonian,5108750949108229,mastercard,2838,7/30/2029
